"Ward","Street","Occupancy (%)","Bay Type","No. Bays"
"Abbey Road","Abbey Gardens",96.4,"Resident Bay","20"
"St. James's","Abbey Orchard Street",71.2,"Resident Bay","19"
"St. James's","Abbey Orchard Street",86,"Pay by Phone Bay","6"
"Abbey Road","Abercorn Place",31.2,"Shared Use Bay","17"
"Abbey Road","Abercorn Place",90,"Resident Bay","54"
"Abbey Road","Abercorn Place",75.5,"Pay by Phone Bay","3"
"Regent's Park","Aberdeen Place",85.4,"Resident Bay","49"
"Regent's Park","Aberdeen Place",NA,"Pay by Phone Bay",NA
"Church Street","Aberdeen Place",85.4,"Resident Bay","49"
"Church Street","Aberdeen Place",NA,"Pay by Phone Bay",NA
"Abbey Road","Acacia Place",59.1,"Resident Bay","4"
"Abbey Road","Acacia Road",51.2,"Pay by Phone Bay","6"
"Abbey Road","Acacia Road",77.7,"Resident Bay","49"
"St. James's","Adam Street",52.7,"Resident Bay","6"
"St. James's","Adam Street",68.9,"Pay by Phone Bay","11"
"West End","Adams Row",69.1,"Resident Bay","8"
"St. James's","Adelphi Terrace",52.7,"Pay by Phone Bay","6"
"Little Venice","Adpar Street",100,"Resident Bay","13"
"St. James's","Agar Street",86.4,"Pay by Phone Bay","2"
"St. James's","Agar Street",74.1,"Shared Use Bay","6"
"St. James's","Agar Street",90.7,"Resident Bay","3"
"West End","Albemarle Street",75.5,"Pay by Phone Bay","20"
"West End","Albemarle Street",59.7,"Resident Bay","26"
"Hyde Park","Albion Street",86.4,"Pay by Phone Bay","4"
"Hyde Park","Albion Street",83.2,"Resident Bay","47"
"Warwick","Alderney Street",75.4,"Shared Use Bay","15"
"Warwick","Alderney Street",61.8,"Pay by Phone Bay","5"
"Warwick","Alderney Street",67.5,"Resident Bay","123"
"West End","Aldford Street",73.6,"Pay by Phone Bay","8"
"West End","Aldford Street",72.1,"Resident Bay","21"
"Westbourne","Aldridge Road Villas",84.5,"Resident Bay","74"
"Westbourne","Aldridge Road Villas",86.4,"Pay by Phone Bay","4"
"Westbourne","Aldsworth Close",NA,"Resident Bay",NA
"Westbourne","Aldsworth Close",NA,"Shared Use Bay",NA
"St. James's","Aldwych",64.6,"Pay by Phone Bay","17"
"Bayswater","Alexander Street",88.5,"Resident Bay","19"
"Bayswater","Alexander Street",84.1,"Pay by Phone Bay","4"
"Westbourne","Alfred Road",90.9,"Pay by Phone Bay","4"
"Westbourne","Alfred Road",90.8,"Resident Bay","40"
"Regent's Park","Allitsen Road",85.3,"Resident Bay","84"
"Abbey Road","Allitsen Road",85.3,"Resident Bay","84"
"Regent's Park","Allsop Place",86.6,"Resident Bay","24"
"Regent's Park","Allsop Place",72.7,"Pay by Phone Bay","4"
"Abbey Road","Alma Square",75.4,"Resident Bay","49"
"Abbey Road","Alma Square",77,"Shared Use Bay","12"
"Queen's Park","Alperton Street",64.8,"Shared Use Bay","6"
"Queen's Park","Alperton Street",62,"Resident Bay","19"
"Regent's Park","Alpha Close",72.7,"Resident Bay","4"
"Westbourne","Amberley Road",83.6,"Pay by Phone Bay","5"
"Westbourne","Amberley Road",78.1,"Resident Bay","43"
"Vincent Square","Ambrosden Avenue",74.9,"Resident Bay","52"
"Vincent Square","Ambrosden Avenue",69.1,"Pay by Phone Bay","10"
"Maida Vale","Andover Place",89.5,"Resident Bay","26"
"Maida Vale","Andover Place",84.1,"Pay by Phone Bay","4"
"Abbey Road","Aquila Street",54.4,"Pay by Phone Bay","3"
"West End","Archer Street",86.4,"Resident Bay","2"
"St. James's","Arlington Street",54.5,"Pay by Phone Bay","4"
"St. James's","Arneway Street",69.1,"Shared Use Bay","5"
"Bayswater","Artesian Road",84.6,"Resident Bay","49"
"Bayswater","Artesian Road",76.1,"Shared Use Bay","7"
"Bayswater","Artesian Road",72.5,"Pay by Phone Bay","6"
"St. James's","Artillery Row",74.5,"Resident Bay","5"
"Vincent Square","Artillery Row",83.6,"Shared Use Bay","5"
"Vincent Square","Artillery Row",74.5,"Resident Bay","5"
"St. James's","Arundel Street",59.3,"Pay by Phone Bay","7"
"Church Street","Ashbridge Street",90.9,"Pay by Phone Bay","2"
"Church Street","Ashbridge Street",82,"Resident Bay","40"
"Vincent Square","Ashley Place",79.5,"Resident Bay","4"
"Church Street","Ashmill Street",90.5,"Resident Bay","12"
"Harrow Road","Ashmore Road",67.3,"Resident Bay","234"
"Harrow Road","Ashmore Road",62.9,"Shared Use Bay","25"
"Harrow Road","Ashmore Road",56,"Pay by Phone Bay","9"
"Queen's Park","Ashmore Road",56,"Pay by Phone Bay","9"
"Queen's Park","Ashmore Road",67.3,"Resident Bay","234"
"Queen's Park","Ashmore Road",62.9,"Shared Use Bay","25"
"Maida Vale","Ashworth Road",67.5,"Resident Bay","76"
"Maida Vale","Ashworth Road",72.7,"Pay by Phone Bay","5"
"Vincent Square","Atterbury Street",27.6,"Shared Use Bay","41"
"West End","Audley Square",NA,"Resident Bay",NA
"Marylebone High Street","Aybrook Street",48.1,"Resident Bay","27"
"Marylebone High Street","Aybrook Street",42,"Pay by Phone Bay","3"
"Tachbrook","Aylesford Street",80.4,"Pay by Phone Bay","8"
"Tachbrook","Aylesford Street",82.6,"Resident Bay","74"
"Bryanston and Dorset Square","Baker Street",32.7,"Pay by Phone Bay","5"
"Bryanston and Dorset Square","Baker Street",36.4,"Resident Bay","1"
"Marylebone High Street","Baker Street",32.7,"Pay by Phone Bay","5"
"Marylebone High Street","Baker Street",36.4,"Resident Bay","1"
"Marylebone High Street","Bakers Mews",65.5,"Resident Bay","5"
"Bryanston and Dorset Square","Balcombe Street",77.3,"Pay by Phone Bay","10"
"Bryanston and Dorset Square","Balcombe Street",NA,"Shared Use Bay",NA
"Bryanston and Dorset Square","Balcombe Street",79.1,"Resident Bay","69"
"West End","Balderton Street",18.2,"Pay by Phone Bay","2"
"West End","Balderton Street",46.3,"Resident Bay","7"
"West End","Balfour Mews",77.5,"Resident Bay","7"
"West End","Balfour Place",90.5,"Resident Bay","6"
"West End","Balfour Place",56.8,"Pay by Phone Bay","4"
"Queen's Park","Barfett Street",49.6,"Resident Bay","35"
"Queen's Park","Barfett Street",58.9,"Shared Use Bay","6"
"Lancaster Gate","Bark Place",79.9,"Resident Bay","13"
"Lancaster Gate","Bark Place",77.3,"Pay by Phone Bay","4"
"Harrow Road","Barnsdale Road",60.8,"Resident Bay","42"
"Westbourne","Barnwood Close",NA,"Shared Use Bay",NA
"Westbourne","Barnwood Close",NA,"Resident Bay",NA
"Marylebone High Street","Barrett Street",80,"Pay by Phone Bay","5"
"Marylebone High Street","Barrett Street",54.5,"Resident Bay","1"
"Regent's Park","Barrow Hill Road",90.9,"Pay by Phone Bay","1"
"Regent's Park","Barrow Hill Road",80.3,"Resident Bay","7"
"West End","Bateman Street",81.8,"Resident Bay","1"
"Hyde Park","Bathurst Street",93.8,"Pay by Phone Bay","3"
"Hyde Park","Bathurst Street",97.5,"Resident Bay","8"
"Marylebone High Street","Beaumont Mews",0,"Resident Bay","3"
"Marylebone High Street","Beaumont Street",67.3,"Pay by Phone Bay","10"
"Marylebone High Street","Beaumont Street",72.2,"Shared Use Bay","32"
"Marylebone High Street","Beaumont Street",90.9,"Resident Bay","10"
"St. James's","Bedford Court",72.5,"Resident Bay","3"
"St. James's","Bedford Street",59.4,"Resident Bay","16"
"St. James's","Bedford Street",57.2,"Pay by Phone Bay","6"
"St. James's","Bedfordbury",84.8,"Resident Bay","3"
"St. James's","Beeston Place",71,"Pay by Phone Bay","7"
"Queen's Park","Beethoven Street",80,"Resident Bay","50"
"Queen's Park","Beethoven Street",52.7,"Pay by Phone Bay","6"
"Queen's Park","Beethoven Street",60,"Shared Use Bay","10"
"Abbey Road","Belgrave Gardens",94.5,"Resident Bay","34"
"Abbey Road","Belgrave Gardens",84.6,"Pay by Phone Bay","6"
"Knightsbridge and Belgravia","Belgrave Place",35.4,"Pay by Phone Bay","18"
"Knightsbridge and Belgravia","Belgrave Place",51.7,"Resident Bay","26"
"Knightsbridge and Belgravia","Belgrave Place",21.8,"Shared Use Bay","5"
"Warwick","Belgrave Road",71.6,"Shared Use Bay","64"
"Warwick","Belgrave Road",78,"Resident Bay","39"
"Warwick","Belgrave Road",52.1,"Pay by Phone Bay","8"
"Tachbrook","Belgrave Road",52.1,"Pay by Phone Bay","8"
"Tachbrook","Belgrave Road",78,"Resident Bay","39"
"Tachbrook","Belgrave Road",71.6,"Shared Use Bay","64"
"Knightsbridge and Belgravia","Belgrave Square",47.5,"Resident Bay","92"
"Knightsbridge and Belgravia","Belgrave Square",24.7,"Shared Use Bay","101"
"Church Street","Bell Street",84.1,"Resident Bay","19"
"Church Street","Bell Street",72.4,"Pay by Phone Bay","23"
"Church Street","Bendall Mews",100,"Resident Bay","1"
"St. James's","Bennet Street",NA,"Resident Bay",NA
"Marylebone High Street","Bentinck Mews",61.8,"Resident Bay","5"
"Marylebone High Street","Bentinck Street",65.5,"Resident Bay","20"
"Marylebone High Street","Bentinck Street",57.5,"Pay by Phone Bay","3"
"Bryanston and Dorset Square","Berkeley Mews",49.1,"Resident Bay","5"
"West End","Berkeley Square",58.7,"Pay by Phone Bay","8"
"West End","Berkeley Street",79.7,"Pay by Phone Bay","22"
"West End","Berners Mews",18.2,"Resident Bay","1"
